name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"Shrikeh\SymfonyApp\Bus\Decorator\Exception\ResultCorrelationMismatch",4,3,6.34,0,0,1.5,0,0,9.51,0,4,0,3,1,1,0.15,108.4,73.43,34.97,N/A,N/A,1,16,0.4,16.4,16,0.4,16.4,3,12,9,N/A,1,1,0,1,0,0,1,2,0.67,N/A,0.02
"Shrikeh\SymfonyApp\Bus\Decorator\Exception\DecoratorException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,4,1,0.2,N/A,0.13
"Shrikeh\SymfonyApp\Bus\Decorator\Exception\BusMustReturnCorrelatedResult",4,3,6.34,0,0,1.5,0,0,9.51,0,4,0,3,1,1,0.15,108.4,73.43,34.97,N/A,N/A,1,4,0.67,4.67,4,0.67,4.67,3,12,9,N/A,1,1,0,1,0,0,1,3,0.75,N/A,0.02
"Shrikeh\SymfonyApp\Bus\Decorator\CorrelationCommandBus",20,7,56.15,3.4,190.9,0.29,0.02,11,16.51,3,17,2,5,1,1,0.15,93.32,57.91,35.41,N/A,N/A,2,36,0.43,36.43,108,1.29,109.29,8,31,23,N/A,3,2,0,2,1,0,0,3,1,N/A,0.01
"Shrikeh\SymfonyApp\Bus\Traits\ResultAssertion",6,3,9.51,1.25,11.89,0.8,0,1,7.61,1,5,1,2,2,2,0.22,111.7,71.07,40.63,N/A,N/A,1,0,2,2,0,2,2,6,16,10,N/A,1,1,1,0,0,0,0,2,1,N/A,0.01
"Shrikeh\SymfonyApp\Bus\SymfonyQueryBus",15,8,45,3.6,162,0.28,0.02,9,12.5,3,12,3,5,2,2,0.15,96.83,59.31,37.52,N/A,N/A,2,4,0.67,4.67,8,1.33,9.33,9,30,21,N/A,2,2,0,2,0,0,0,5,1,N/A,0.01
"Shrikeh\SymfonyApp\Bus\SymfonyCommandBus",15,8,45,3.6,162,0.28,0.02,9,12.5,3,12,3,5,2,2,0.15,88.35,59.31,29.04,N/A,N/A,2,4,0.67,4.67,8,1.33,9.33,4,25,21,N/A,2,2,0,2,0,0,0,5,1,N/A,0.01
"Shrikeh\SymfonyApp\Bus\Exception\ErrorHandlingCommand",5,3,7.92,0,0,1.2,0,0,9.51,0,5,0,3,1,1,0.15,72.76,72.76,0,N/A,N/A,1,9,0.5,9.5,9,0.5,9.5,0,9,9,N/A,1,1,0,1,0,0,1,5,0.83,N/A,0.02
"Shrikeh\SymfonyApp\Bus\Exception\ErrorHandlingQuery",5,3,7.92,0,0,1.2,0,0,9.51,0,5,0,3,1,1,0.15,72.76,72.76,0,N/A,N/A,1,9,0.5,9.5,9,0.5,9.5,0,9,9,N/A,1,1,0,1,0,0,1,5,0.83,N/A,0.02
"Shrikeh\SymfonyApp\Bus\Exception\MessageBusReturnedNoResult",5,4,10,0,0,1.6,0,0,16,0,5,0,4,1,1,0.15,72.05,72.05,0,N/A,N/A,1,4,0.67,4.67,4,0.67,4.67,0,9,9,N/A,1,1,0,1,0,0,1,3,0.75,N/A,0.03
"Shrikeh\SymfonyApp\Bus\Exception\SymfonyMessageBusException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,4,1,0.2,N/A,0.35
"Shrikeh\SymfonyApp\Bundle\App",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,171,171,0,N/A,N/A,1,0,1,1,0,1,1,0,8,8,N/A,1,1,0,1,0,0,0,2,1,N/A,0.01
"Shrikeh\SymfonyApp\Bundle\DependencyInjection\AppExtension",11,9,34.87,1.29,44.83,0.78,0.01,2,27.12,2,9,2,7,1,1,0.15,106.12,68.25,37.87,N/A,N/A,1,1,1,2,1,1,2,4,13,9,N/A,1,1,0,1,0,0,1,4,0.8,N/A,0.03
